cohort,week,retention
2025-01,1,79
2025-01,2,76.9
2025-01,3,67.3
2025-01,4,60.7
2025-01,5,52
2025-01,6,40.9
2025-01,7,36.7
2025-01,8,27.3
2025-02,1,85.1
2025-02,2,73.1
2025-02,3,70.2
2025-02,4,57.5
2025-02,5,51.3
2025-02,6,46.6
2025-02,7,36.5
2025-02,8,29.5
2025-03,1,84.3
2025-03,2,78.4
2025-03,3,70.9
2025-03,4,61.1
2025-03,5,51.2
2025-03,6,45.9
2025-03,7,39.5
2025-03,8,27.5
2025-04,1,86.6
2025-04,2,76.8
2025-04,3,70.5
2025-04,4,60.6
2025-04,5,56.1
2025-04,6,43.9
2025-04,7,36.6
2025-04,8,30.5
2025-05,1,84.2
2025-05,2,78.1
2025-05,3,68.5
2025-05,4,62.8
2025-05,5,54.4
2025-05,6,49.2
2025-05,7,38.6
2025-05,8,28
2025-06,1,86.7
2025-06,2,79.3
2025-06,3,70.6
2025-06,4,61.1
2025-06,5,54.1
2025-06,6,46.9
2025-06,7,40.9
2025-06,8,29.2
2025-07,1,86
2025-07,2,79
2025-07,3,73.3
2025-07,4,66
2025-07,5,57
2025-07,6,46.9
2025-07,7,37.7
2025-07,8,31.9
2025-08,1,88.9
2025-08,2,79.4
2025-08,3,74.5
2025-08,4,66.2
2025-08,5,55.1
2025-08,6,50.1
2025-08,7,41.7
2025-08,8,34
