day,value,ma14
1,961,
2,941,
3,983,
4,952,
5,972,
6,1009,
7,1024,
8,990,
9,968,
10,954,
11,963,
12,1006,
13,1012,
14,982,980
15,962,980
16,955,981
17,1005,982
18,1024,988
19,986,989
20,998,988
21,1021,988
22,991,988
23,1012,991
24,1033,996
25,1067,1004
26,1045,1007
27,1008,1006
28,1026,1010
29,1005,1013
30,1008,1016
31,1000,1016
32,985,1013
33,993,1014
34,1007,1014
35,1046,1016
36,1066,1022
37,1054,1025
38,1081,1028
39,1064,1028
40,1101,1032
41,1106,1039
42,1117,1045
43,1147,1055
44,1169,1067
45,1215,1082
46,1214,1099
47,1195,1113
48,1157,1124
49,1147,1131
50,1195,1140
51,1168,1148
52,1150,1153
53,1113,1157
54,1099,1157
55,1147,1160
56,1192,1165
57,1156,1166
58,1124,1162
59,1116,1155
60,1117,1148
