day,hour,orders
Mon,0,1
Mon,1,4
Mon,2,4
Mon,3,2
Mon,4,1
Mon,5,2
Mon,6,10
Mon,7,10
Mon,8,18
Mon,9,29
Mon,10,44
Mon,11,65
Mon,12,72
Mon,13,64
Mon,14,48
Mon,15,31
Mon,16,27
Mon,17,34
Mon,18,44
Mon,19,54
Mon,20,43
Mon,21,32
Mon,22,19
Mon,23,11
Tue,0,1
Tue,1,3
Tue,2,5
Tue,3,1
Tue,4,3
Tue,5,4
Tue,6,7
Tue,7,12
Tue,8,15
Tue,9,30
Tue,10,48
Tue,11,64
Tue,12,71
Tue,13,63
Tue,14,48
Tue,15,31
Tue,16,26
Tue,17,33
Tue,18,46
Tue,19,54
Tue,20,46
Tue,21,30
Tue,22,18
Tue,23,11
Wed,0,2
Wed,1,1
Wed,2,4
Wed,3,3
Wed,4,1
Wed,5,4
Wed,6,8
Wed,7,11
Wed,8,18
Wed,9,28
Wed,10,46
Wed,11,62
Wed,12,70
Wed,13,64
Wed,14,47
Wed,15,31
Wed,16,26
Wed,17,35
Wed,18,47
Wed,19,54
Wed,20,44
Wed,21,30
Wed,22,19
Wed,23,11
Thu,0,4
Thu,1,2
Thu,2,3
Thu,3,1
Thu,4,4
Thu,5,3
Thu,6,8
Thu,7,9
Thu,8,15
Thu,9,27
Thu,10,45
Thu,11,62
Thu,12,71
Thu,13,62
Thu,14,48
Thu,15,31
Thu,16,27
Thu,17,32
Thu,18,47
Thu,19,54
Thu,20,46
Thu,21,31
Thu,22,16
Thu,23,12
Fri,0,1
Fri,1,4
Fri,2,5
Fri,3,3
Fri,4,3
Fri,5,4
Fri,6,7
Fri,7,10
Fri,8,15
Fri,9,30
Fri,10,44
Fri,11,64
Fri,12,68
Fri,13,62
Fri,14,47
Fri,15,30
Fri,16,27
Fri,17,31
Fri,18,46
Fri,19,50
Fri,20,45
Fri,21,31
Fri,22,17
Fri,23,11
Sat,0,4
Sat,1,4
Sat,2,2
Sat,3,3
Sat,4,4
Sat,5,1
Sat,6,7
Sat,7,8
Sat,8,7
Sat,9,8
Sat,10,13
Sat,11,20
Sat,12,29
Sat,13,41
Sat,14,45
Sat,15,40
Sat,16,33
Sat,17,22
Sat,18,24
Sat,19,36
Sat,20,51
Sat,21,62
Sat,22,54
Sat,23,34
Sun,0,2
Sun,1,5
Sun,2,4
Sun,3,5
Sun,4,1
Sun,5,5
Sun,6,10
Sun,7,7
Sun,8,7
Sun,9,9
Sun,10,14
Sun,11,21
Sun,12,30
Sun,13,43
Sun,14,47
Sun,15,42
Sun,16,32
Sun,17,22
Sun,18,25
Sun,19,38
Sun,20,53
Sun,21,60
Sun,22,53
Sun,23,35
