team,tenure_months
Platform,6
Platform,14
Platform,18
Platform,22
Platform,28
Platform,33
Platform,37
Platform,42
Platform,48
Platform,55
Platform,62
Platform,71
Product,4
Product,9
Product,13
Product,17
Product,21
Product,24
Product,28
Product,32
Product,36
Product,40
Product,46
Product,52
Design,8
Design,12
Design,16
Design,20
Design,24
Design,29
Design,34
Design,41
Design,50
Design,58
Design,65
Design,74
Sales,3
Sales,8
Sales,12
Sales,16
Sales,20
Sales,24
Sales,29
Sales,33
Sales,40
Sales,48
Sales,57
Sales,66
